title,price,rating,image,description,url
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","₹10,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/9/t/-original-imahfkvfhpfaftmb.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.12 cm (6.74 inch) HD+ Display | 50MP + 2MP | 5MP Front Camera | 6000 mAh Battery | Dimensity 6300 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-titanium-gold-128-gb/p/itm9886d6e522c4b
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/6/r/-original-imahgqnzbwhbqywa.jpeg?q=70,8 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Full HD+ Display | 50MP + 8MP | 32MP Front Camera | 5500 mAh Battery | 7s Gen 2 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,https://www.flipkart.com/motorola-g96-5g-pantone-ashleigh-blue-128-gb/p/itm93452c0761719
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)","₹12,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/a/9/-original-imahfw4vxaqmcsjp.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 16.94 cm (6.67 inch) HD+ Display | 50MP + 2MP | 8MP Front Camera | 6000 mAh Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-breeze-blue-128-gb/p/itm62b2e62fbb43e
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)","₹47,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/8/1/-original-imahfz2tenzpsd3p.jpeg?q=70,8 GB RAM | 128 GB ROM | 15.75 cm (6.2 inch) Full HD+ Display | 50MP + 12MP | 12MP Front Camera | 4000 mAh Battery | 8 Gen 3 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s24-5g-snapdragon-onyx-black-128-gb/p/itm3469a7107606f
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹12,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/o/4/-original-imahf728axcsmfeq.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 50MP AI Dual Camera | 7000 mAh Battery | Snapdragon 6s Gen 3 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/poco-m7-plus-5g-chrome-silver-128-gb/p/itm2fbc82f08965c
"realme Narzo 80 Lite 5G (Crystal Purple, 128 GB)","₹10,745",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/p/z/narzo-80-lite-5g-rmx3933-realme-original-imahdeywgastnqkr.jpeg?q=70,6 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Display | 32MP Rear Camera | 6000 mAh Battery | 1 Year Warranty,https://www.flipkart.com/realme-narzo-80-lite-5g-crystal-purple-128-gb/p/itm47ab7fdec3924
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/q/k/-original-imahfw4vamrf5xhf.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 16.94 cm (6.67 inch) HD+ Display | 50MP + 2MP | 8MP Front Camera | 6000 mAh Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-midnight-violet-128-gb/p/itm62b2e62fbb43e
"realme P4 Pro 5G (Midnight Ivy, 256 GB)","₹24,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/f/0/-original-imahfghxnhsjpk3a.jpeg?q=70,8 GB RAM | 256 GB ROM | 17.27 cm (6.8 inch) Display | 50MP + 8MP | 50MP Front Camera | 7000 mAh Battery | Snapdragon 7 Gen 4 Mobile Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-p4-pro-5g-midnight-ivy-256-gb/p/itme41a54752cc21
"Ai+ Pulse (Blue, 64 GB)","₹5,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/v/-original-imahgzhp9vgvyfkg.jpeg?q=70,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/ai-pulse-blue-64-gb/p/itm131a44071789c
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)","₹13,499",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/9/t/-original-imahfkvfhpfaftmb.jpeg?q=70,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB | 17.12 cm (6.74 inch) HD+ Display | 50MP + 2MP | 5MP Front Camera | 6000 mAh Battery | Dimensity 6300 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-titanium-gold-256-gb/p/itm9886d6e522c4b
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹13,499",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/l/-original-imahg2z9zy2ea2py.jpeg?q=70,6 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Full HD+ Display | 50MP + 8MP + 2MP | 20MP Front Camera | 5110 mAh Battery | Dimensity 7025 Ultra Processor | 1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/redmi-note-14-se-5g-crimson-art-128-gb/p/itm10fbd7f3a50f1
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/g/k/-original-imahekyxwdxefxae.jpeg?q=70,8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP + 8MP | 50MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7300+ 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-15-5g-flowing-silver-128-gb/p/itme9581fbd0e97a
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹10,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/a/x/-original-imahfkvfhcddfzvh.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.12 cm (6.74 inch) HD+ Display | 50MP + 2MP | 5MP Front Camera | 6000 mAh Battery | Dimensity 6300 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-prism-blue-128-gb/p/itm9886d6e522c4b
"vivo T4R 5G (Twilight Blue, 128 GB)","₹19,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/3/i/-original-imahfkvffkd4qhma.jpeg?q=70,8 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP (OIS) + 2MP | 32MP Front Camera | 5700 mAh Battery | Dimensity 7400 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4r-5g-twilight-blue-128-gb/p/itm3a5653667cb9c
"Ai+ Nova 5G (Black, 128 GB)","₹8,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/x/i/-original-imahgzhp2fteyggf.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T8200 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/ai-nova-5g-black-128-gb/p/itmbc4ea39b70ca3
"vivo T4x 5G (Glacial Teal, 128 GB)","₹14,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/k/r/-original-imahfhudssrdghcz.jpeg?q=70,6 GB RAM | 128 GB ROM | 17.07 cm (6.72 inch) Display | 50MP + 2MP | 8MP Front Camera | 6500 mAh Battery | Dimensity 7300 5G Processor | 1 Year Warranty for Device and 6 Months Warranty for Accessories,https://www.flipkart.com/vivo-t4x-5g-glacial-teal-128-gb/p/itm017656bdd097b
