,,,,,,,
,,,,,,,
,,,,,,model,battery 
,,,,,,Apple iPhone 16,
,,,,,,Apple iPhone 16,
,,Apple iPhone 11,3110 mAh,,,Apple iPhone 16 Plus,
,,Apple iPhone 13,3227 mAh,,,Apple iPhone 16 Plus,
,,Apple iPhone 14,3279 mAh,,,Apple iPhone 16 Pro,
,,Apple iPhone 16,3561 mAh,,,Apple iPhone 16 Pro,
,,Apple iPhone 16 Plus,4674 mAh,,,Apple iPhone 16 Pro,
,,Apple iPhone 16 Pro,3582 mAh,,,Apple iPhone 16 Pro Max,
,,Apple iPhone 16 Pro Max,4685 mAh,,,Apple iPhone 16 Pro Max,
,,Apple iPhone 16e,3961 mAh,,,Apple iPhone 16e,
,,Apple iPhone 17,3692 mAh,,,Apple iPhone 17,
,,Apple iPhone 17 Pro,3988 mAh,,,Apple iPhone 17 Pro,
,,Apple iPhone 17 Pro Max,4832 mAh,,,Apple iPhone 17 Pro,
,,,,,,Apple iPhone 17 Pro,
,,,,,,Apple iPhone 17 Pro Max,
,,,,,,Apple iPhone 17 Pro Max,
,,,,,,Apple iPhone 17 Pro Max,
